id;label
1;1930s
2;1990s
3;abdication
4;accountability
5;accounting standards
6;accumulation
7;acp
8;administrative guidance
9;administrative-law
10;adoption
11;aerospace
12;afl-cio
13;africa
14;agencies
15;agenda
16;agents of knowledge
17;agglomeration
18;agreements
19;agriculture
20;aid
21;aids
22;allocation
23;ambiguity
24;america
25;analytic eclecticism
26;anarchy
27;andean development corporation
28;anglo-america
29;antidumping
30;anti-imperialism
31;apec
32;apparel production
33;arbitrage
34;area
35;armaments collaboration
36;arms exports
37;arrangements
38;articulated economies
39;asia
40;asia pacific
41;asian regionalism
42;assistance
43;associations
44;asymmetric bargaining
45;asymmetrical regulation
46;asymmetry
47;australia
48;authorship
49;autocracy
50;automotive industry
51;balanced budgets
52;bangladesh
53;banking
54;barriers
55;barter
56;basel accords
57;basel committee
58;bayh-dole act
59;beauty
60;beijing consensus
61;beliefs
62;belize
63;benefit-sharing
64;bias
65;bibliometrics
66;bilateral investment treaties
67;bilateralism
68;biodiversity
69;biomedical-research
70;bioprospecting
71;bioscience
72;black box
73;body
74;bolivia
75;bond spreads
76;bonds
77;bosnia and herzegovina
78;bottom
79;bourdieu
80;brazil
81;bretton woods
82;brexit
83;bricolage
84;brics
85;british
86;british school
87;brute facts
88;budget support
89;bureaucracy
90;business
91;byelarus
92;california
93;canada
94;capacity
95;capital
96;capital account liberalization
97;capital accumulation
98;capital controls
99;capital fixity
100;capital importers
101;capital market
102;capital markets
103;capital mobility
104;capital rules
105;capital taxation
106;capitalism
107;capitalist class
108;capture
109;caribbean
110;cariforum
111;cayman islands
112;ccp
113;celtic tiger
114;central america
115;central banking
116;centre-periphery
117;chaos
118;children
119;china
120;chinese communist party
121;chinese economic nationalism
122;chinese ipe
123;chinese party-state
124;chinese politics
125;city-state
126;civic interests
127;civil society
128;class
129;classical political economy
130;climate change
131;clusters
132;co-evolution
133;coffee
134;cognitive-base constructivism
135;cohen debate
136;cold-war
137;collective action
138;commerce
139;commodification
140;commodity chain
141;commodity chains
142;commodity fetishism
143;community
144;comparative advantage
145;comparative capitalism
146;comparative political economy
147;competition
148;competition policy
149;competitiveness
150;complex causation
151;conditionality
152;cone
153;conflict
154;confusion
155;consensual democracy
156;consequences
157;conservation
158;constituencies
159;constitutions
160;construction
161;constructivism
162;constructivist political economy
163;consumption
164;contemporary globalization
165;contracts
166;conventions
167;convergence
168;cooperation
169;coordinated market economy
170;coordination
171;core labour standards
172;corporate governance
173;corporate responsibility
174;corporate structures
175;corruption
176;cost approach
177;costs
178;cotton
179;developing countries
180;creativity
181;credibility
182;credible commitments
183;credit rating agencies
184;credit ratings
185;credit rationing
186;crisis
187;critical approaches
188;critical historiography
189;critical state theory
190;critical theory
191;critique
192;cross-border
193;cultural industries
194;cultural political economy
195;cultural products
196;culture
197;currencies
198;currency
199;cyberspace
200;debate
201;debt
202;decade
203;decision making
204;defence industries
205;defense procurement
206;deflation methods
207;democracy
208;democratic advantage
209;democratic transitions
210;democratization
211;department of homeland security
212;dependence
213;derivatives
214;design
215;desire
216;determinants
217;development
218;developmental state
219;diffusion
220;discipline
221;discourse
222;disintegration
223;dispute
224;dispute settlement
225;distribution
226;district magnitude
227;diversity
228;doha development agenda
229;dollar
230;domestic adjustment
231;domestic institutions
232;domestic politics
233;domestic structures
234;donor-recipient relation
235;dont
236;double taxation
237;dynamics
238;easdaq
239;east asia
240;east brazil
241;eastern europe
242;ecb
243;EMU
244;economic coordination
245;economic diplomacy
246;economic governance
247;economic ideas
248;economic ideology
249;economic integration
250;economic partnership agreements
251;economic power
252;economic reform
253;economic regioalism
254;economic relations
255;economic-geography
256;economic-growth
257;economic-organization
258;economics
259;economy
260;economies of scale
261;economists
262;eco-tourism
263;ecowas
264;education
265;efficiency
266;egypt
267;eisenhower
268;electoral politics
269;electoral systems
270;electronics industry
271;elite experiments in ir
272;embedded liberalism
273;embeddedness
274;emergence
275;emerging markets
276;empirical-analysis
277;enabling myths
278;energy
279;england
280;enlargement
281;enlightenment
282;environment
283;environmental governance
284;environmental policy
285;environmental politics
286;environmental practice
287;environmental protection
288;epistemic communities
289;epistemology
290;equality
291;equity
292;erosion
293;esm
294;ethical trade
295;ethiopia
296;ethnoaccountancy
297;etuc
298;european union
299;eu competition policy
300;eu enlargement
301;eu preferential trade
302;eurasia
303;euro
304;euro area
305;euro crisis
306;euro zone
307;eurocentrism
308;europe
309;european commission
310;european elections
311;european equity markets
312;european governance
313;european integration
314;european payments union
315;evolution
316;excessive deficit procedure
317;exchange
318;exchange rate
319;execution costs
320;executive-legislative relations
321;exit
322;expansion
323;export promotion
324;export-oriented development
325;external agenda
326;external shocks
327;externalities
328;failed states
329;failure
330;fair trade
331;family law
332;federalism
333;feminism
334;field theory
335;film industry
336;finance
337;financial co-operation
338;financial crisis
339;financial diplomacy
340;financial globalisation
341;financial governance
342;financial innovation
343;financial liberalization
344;financial markets
345;financial models
346;financial politics
347;financial regulation
348;financial services
349;financial stability
350;financial-industrial groups
351;financialisation
352;financialization
353;financial-markets
354;firm
355;firms
356;fiscal decentralization
357;fiscal policy
358;fiscal-policy coordination
359;flexibility
360;flexible specialisation
361;flexible specialization
362;follower
363;foreign aid
364;foreign direct investment
365;foreign economic-policy
366;foreign funding
367;foreign trade
368;foreign trade policy
369;forum
370;foundations
371;framework
372;framing
373;france
374;free riding
375;freedom of association
376;french automobile industry
377;frontier
378;fruiticulture
379;fta
380;future
381;g20
382;garment industry
383;gas
384;gats
385;gatt
386;gender
387;general agreement on trade in services
388;genetic-resources
389;geography
390;geopolitics
391;german hegemony
392;germany
393;giving
394;global city
395;global civil society
396;global commodity chains
397;global diffusion
398;global economy
399;global finance
400;global financial crisis
401;global financial governance
402;global governance
403;global production networks
404;global redistribution
405;global retail revolution
406;global strategy
407;global value chains
408;global wealth chains
409;globalization
410;gold standard
411;goodbye washington consensus
412;governance
413;government
414;government networks
415;governmentality
416;granger causality
417;grant
418;grape production
419;gravity equation
420;gravity models
421;great powers
422;greece
423;green economy
424;growth
425;guatemala
426;harmful
427;harmonization
428;harvard school
429;havens
430;health
431;health policy
432;hedge funds
433;hegemonic discourse
434;hegemony
435;herzegovina
436;hierarchical market economies
437;hierarchy
438;high technology
439;hirschman
440;historical institutionalism
441;history
442;history of intellectual property
443;hiv/aids
444;hollywood
445;honduras
446;horticulture
447;human rights
448;hungary
449;hydrocarbons
450;ideas
451;identity
452;ideological formations
453;ideology
454;illicit financial flows
455;ilo
456;imf
457;imf surveillance power
458;imitation
459;immigration
460;impact
461;imperial mode of living
462;imperialism
463;implementation
464;implementation politics
465;incentives
466;income
467;index
468;india
469;indonesia
470;industrial collaboration
471;industrial policy
472;industrial upgrading
473;industrial-research
474;industry
475;industry mobility
476;inequality
477;inflation and growth comparisons
478;inflows
479;informal sector
480;information
481;information technology
482;innovation
483;instituting
484;institution
485;institutional adaptation
486;institutional change
487;institutional design
488;institutional theory
489;institutionalism
490;institutionalist
491;institutions
492;intangible assets
493;integration
494;intellectual property
495;intellectual property regulation
496;intellectual property rights
497;interactive method
498;inter-american development bank
499;interdependence
500;interdisciplinarity
501;interest groups
502;interests
503;intergovernmentalism
504;interlocking directorates
505;intermediation
506;internal agenda
507;international adjustment
508;international agreements
509;international capital markets
510;international capital mobility
511;international competition
512;international cooperation
513;international currency
514;international financial architecture
515;international framework agreements
516;international institutions
517;international investment
518;international law
519;international market regulation
520;international migration
521;international monetary system
522;international money
523;international organisations
524;international political economy
525;international regime complexity
526;international regimes
527;international regulation
528;international relations
529;international security
530;international trade
531;international-governmental organizations (igos)
532;internationalism
533;internationalization
534;international politics
535;international trade law
536;internet
537;intervention
538;investment
539;investment law
540;investment risk
541;investment services directive (isd)
542;investment treaties
543;investors
544;iosco
545;ipe theory
546;iprs
547;iraq
548;ireland
549;issue-linkage
550;issues
551;japan
552;japanese capitalism
553;jordan
